"","lead","non","year"
"61611","11191-96","51595-21",2017
"61612","40829-14","51595-21",2017
"61613","51595-21","51595-21",2017
"61614","56833-03","51595-21",2017
"61615","10123-03","56833-03",2017
"61616","11191-96","56833-03",2017
"61617","40829-14","56833-03",2017
"61618","51595-21","56833-03",2017
"61619","56833-03","56833-03",2017
"61620","11318-86","11132-38",2016
"61621","56617-66","11132-38",2016
"61622","11318-86","11318-86",2016
"61623","56617-66","11318-86",2016
"61624","11318-86","54106-66",2016
"61625","56617-66","54106-66",2016
"61626","11318-86","56617-66",2016
"61627","56617-66","56617-66",2016
"61628","51472-63","11281-06",2015
"61629","51472-63","51472-63",2015
"61630","50980-69","11191-87",2017
"61631","50980-69","50980-69",2017
"61632","50980-69","51763-51",2017
"61633","50980-69","52649-11",2017
"61634","50980-69","59991-49",2017
"61635","187432-21","11313-82",2017
"61636","187432-21","187432-21",2017
"61637","187432-21","52815-70",2017
"61638","187432-21","54150-49",2017
"61639","187432-21","55271-44",2017
"61640","52225-75","11165-23",2016
"61641","58740-40","11165-23",2016
"61642","52225-75","52225-75",2016
"61643","58740-40","52225-75",2016
"61644","52225-75","54195-40",2016
"61645","58740-40","54195-40",2016
"61646","52225-75","58740-40",2016
"61647","58740-40","58740-40",2016
"61648","170053-39","107422-39",2016
"61649","170053-39","11240-02",2016
"61650","170053-39","11258-56",2016
"61651","170053-39","170053-39",2016
"61652","170053-39","51189-94",2016
"61653","170053-39","53967-52",2016
"61654","170053-39","64545-67",2016
"61655","54197-38","54197-38",2014
"61656","54197-38","62157-25",2014
"61657","11165-50","11165-50",2016
"61658","11165-50","57358-72",2016
"61659","11155-87","11155-87",2016
"61660","11258-56","11155-87",2016
"61661","11155-87","11258-56",2016
"61662","11258-56","11258-56",2016
"61663","61986-61","162578-26",2016
"61664","61986-61","61986-61",2016
"61665","11201-59","110390-41",2017
"61666","11201-59","11201-59",2017
"61667","11201-59","51625-90",2017
"61668","104840-56","104840-56",2016
"61669","104840-56","54305-83",2016
"61670","11135-71","11135-71",2016
"61671","11135-71","53788-78",2016
"61672","11135-71","56833-03",2016
"61673","52703-74","126201-25",2016
"61674","52703-74","52703-74",2016
"61675","64182-25","53443-09",2016
"61676","64182-25","54106-66",2016
"61677","64182-25","64182-25",2016
"61678","11191-87","108358-57",2016
"61679","11191-87","11191-87",2016
"61680","11191-87","11253-52",2016
"61681","11191-87","51533-83",2016
"61682","108167-86","108167-86",2017
"61683","108167-86","60480-82",2017
"61684","41716-90","11321-29",2017
"61685","41716-90","149389-75",2017
"61686","41716-90","41716-90",2017
"61687","41716-90","50980-60",2017
"61688","41716-90","51639-94",2017
"61689","11147-95","11143-54",2016
"61690","11147-95","11147-95",2016
"61691","11147-95","51762-25",2016
"61692","168021-82","11129-59",2017
"61693","168021-82","11197-00",2017
"61694","168021-82","11329-48",2017
"61695","168021-82","168021-82",2017
"61696","168021-82","51204-16",2017
"61697","11157-76","11157-76",2016
"61698","11216-98","11157-76",2016
"61699","11157-76","11216-98",2016
"61700","11216-98","11216-98",2016
"61701","11157-76","155247-58",2016
"61702","11216-98","155247-58",2016
"61703","11157-76","54588-07",2016
"61704","11216-98","54588-07",2016
"61705","11255-50","11191-87",2016
"61706","11255-50","11255-50",2016
"61707","11255-50","11263-96",2016
"61708","11255-50","42788-17",2016
"61709","11255-50","60311-80",2016
"61710","51595-21","108240-76",2016
"61711","51595-21","51595-21",2016
"61712","58906-99","51022-00",2016
"61713","58906-99","58906-99",2016
"61714","58906-99","59991-67",2016
"61715","11258-83","11258-83",2016
"61716","11258-83","122337-64",2016
"61717","11258-83","52136-92",2016
"61718","42278-41","123826-78",2016
"61719","42278-41","180514-90",2016
"61720","42278-41","42278-41",2016
"61721","42278-41","54978-76",2016
"61722","52343-92","158137-48",2016
"61723","52343-92","50980-24",2016
"61724","52343-92","52343-92",2016
"61725","149389-75","149389-75",2016
"61726","149389-75","154240-03",2016
"61727","149389-75","162501-85",2016
"61728","149389-75","83301-22",2016
"61729","149389-75","92422-99",2016
"61730","149389-75","149389-75",2016
"61731","149389-75","187856-11",2016
"61732","61838-11","125465-77",2016
"61733","61838-11","164105-29",2016
"61734","61838-11","61838-11",2016
"61735","164109-79","164109-79",2016
"61736","164109-79","186783-49",2016
"61737","11252-98","11252-98",2016
"61738","11252-98","42943-96",2016
"61739","163040-23","163040-23",2016
"61740","163040-23","42156-01",2016
"61741","155794-06","125107-93",2017
"61742","155794-06","155794-06",2017
"61743","155794-06","163162-54",2017
"61744","155794-06","163995-04",2017
"61745","155794-06","52753-96",2017
"61746","155794-06","56199-52",2017
"61747","155794-06","98634-70",2017
"61748","11281-06","11281-06",2015
"61749","11326-33","11281-06",2015
"61750","11281-06","11326-33",2015
"61751","11326-33","11326-33",2015
"61752","11281-06","153990-01",2015
"61753","11326-33","153990-01",2015
"61754","11281-06","54207-19",2015
"61755","11326-33","54207-19",2015
"61756","150064-75","150064-75",2016
"61757","150064-75","54563-77",2016
"61758","56657-35","56625-85",2013
"61759","56657-35","56657-35",2013
"61760","57500-11","11189-44",2016
"61761","57500-11","11227-60",2016
"61762","57500-11","11308-51",2016
"61763","57500-11","57500-11",2016
"61764","11146-33","11146-33",2016
"61765","11146-33","93383-56",2016
"61766","10139-41","10139-41",2015
"61767","10139-41","50980-60",2015
"61768","102476-98","102476-98",2012
"61769","102476-98","55261-00",2012
"61770","133172-56","111257-20",2016
"61771","133172-56","11227-60",2016
"61772","133172-56","133172-56",2016
"61773","133172-56","55869-04",2016
"61774","133172-56","58373-20",2016
"61775","54660-52","11338-48",2016
"61776","54660-52","54660-52",2016
"61777","60216-58","52363-99",2015
"61778","60216-58","60216-58",2015
"61779","124929-64","10905-04",2014
"61780","124929-64","124929-64",2014
"61781","52683-58","10357-03",2016
"61782","52683-58","11216-26",2016
"61783","52683-58","51161-05",2016
"61784","52683-58","52683-58",2016
"61785","52202-35","51469-48",2015
"61786","52202-35","52202-35",2015
"61787","52202-35","60195-52",2015
"61788","10134-73","10134-73",2009
"61789","10134-73","11189-44",2009
"61790","10134-73","133922-08",2009
"61791","10134-73","10134-73",2016
"61792","10134-73","11251-81",2016
"61793","10134-73","125278-21",2016
"61794","10134-73","149361-04",2016
"61795","10134-73","166690-90",2016
"61796","10134-73","61926-49",2016
"61797","50980-69","50980-69",2016
"61798","54588-07","50980-69",2016
"61799","50980-69","54588-07",2016
"61800","54588-07","54588-07",2016
"61801","50980-69","56387-35",2016
"61802","54588-07","56387-35",2016
"61803","58663-63","164259-91",2016
"61804","58663-63","54942-85",2016
"61805","58663-63","58663-63",2016
"61806","11263-15","11263-15",2016
"61807","11263-15","11307-34",2016
"61808","11326-33","113061-61",2016
"61809","11326-33","11326-33",2016
"61810","42278-41","42278-41",2016
"61811","42278-41","55346-23",2016
"61812","42278-41","55821-52",2016
"61813","11251-81","11251-81",2016
"61814","11251-81","50925-70",2016
"61815","11251-81","53601-22",2016
"61816","164277-73","149515-93",2016
"61817","164277-73","164277-73",2016
"61818","164277-73","54880-12",2016
"61819","164277-73","56718-46",2016
"61820","164277-73","96266-35",2016
"61821","53975-26","53975-26",2016
"61822","53975-26","54899-74",2016
"61823","164283-58","104637-97",2016
"61824","164283-58","111357-01",2016
"61825","164283-58","164283-58",2016
"61826","52725-16","126083-35",2016
"61827","52725-16","52725-16",2016
"61828","61926-49","11877-94",2016
"61829","61926-49","61926-49",2016
"61830","61926-49","96644-53",2016
"61831","164291-68","119020-51",2016
"61832","164291-68","164291-68",2016
"61833","63689-14","149992-21",2016
"61834","63689-14","157209-31",2016
"61835","63689-14","63689-14",2016
"61836","11118-79","11118-79",2003
"61837","11232-91","11118-79",2003
"61838","11118-79","11232-91",2003
"61839","11232-91","11232-91",2003
"61840","11118-79","52242-22",2003
"61841","11232-91","52242-22",2003
"61842","54882-01","54195-67",2017
"61843","54882-01","54882-01",2017
"61844","54882-01","62350-30",2017
"61845","11202-04","11202-04",2016
"61846","11202-04","11237-59",2016
"61847","10521-46","10521-46",2016
"61848","10521-46","11171-44",2016
"61849","10521-46","115187-23",2016
"61850","10521-46","48176-38",2016
"61851","41716-90","11127-25",2016
"61852","41716-90","41716-90",2016
"61853","41716-90","50980-60",2016
"61854","41716-90","53715-43",2016
"61855","60361-75","11320-39",2016
"61856","60361-75","42813-01",2016
"61857","60361-75","60361-75",2016
"61858","56610-55","55694-08",2016
"61859","56610-55","56401-21",2016
"61860","56610-55","56610-55",2016
"61861","11216-98","11216-98",2017
"61862","120702-34","11216-98",2017
"61863","11216-98","120702-34",2017
"61864","120702-34","120702-34",2017
"61865","167430-79","158595-22",2016
"61866","167430-79","167430-79",2016
"61867","110331-10","110331-10",2016
"61868","110331-10","123030-10",2016
"61869","110331-10","53906-41",2016
"61870","110331-10","54704-62",2016
"61871","110331-10","58988-17",2016
"61872","11234-26","11234-26",2016
"61873","11234-26","52274-89",2016
"61874","10052-20","10052-20",2016
"61875","10052-20","168227-20",2016
"61876","57585-88","56056-42",2014
"61877","57585-88","57585-88",2014
"61878","11241-91","11241-91",2017
"61879","11241-91","56302-03",2017
"61880","40801-15","11143-54",2017
"61881","40801-15","40801-15",2017
"61882","58068-64","11111-68",2016
"61883","58068-64","11262-52",2016
"61884","58068-64","124929-64",2016
"61885","58068-64","58068-64",2016
"61886","181009-27","11165-05",2016
"61887","181009-27","181009-27",2016
"61888","181009-27","53715-43",2016
"61889","181009-27","56307-97",2016
"61890","11234-26","11234-26",2016
"61891","11303-11","11234-26",2016
"61892","55992-25","11234-26",2016
"61893","11234-26","11303-11",2016
"61894","11303-11","11303-11",2016
"61895","55992-25","11303-11",2016
"61896","11234-26","55992-25",2016
"61897","11303-11","55992-25",2016
"61898","55992-25","55992-25",2016
"61899","11234-26","59978-26",2016
"61900","11303-11","59978-26",2016
"61901","55992-25","59978-26",2016
"61902","51625-09","51625-09",2016
"61903","51625-09","65111-59",2016
"61904","122863-78","122863-78",2016
"61905","122863-78","154351-72",2016
"61906","123676-03","107422-39",2015
"61907","123676-03","123676-03",2015
"61908","123676-03","53967-52",2015
"61909","52326-10","11242-18",2003
"61910","52326-10","42711-76",2003
"61911","52326-10","51265-09",2003
"61912","52326-10","52326-10",2003
"61913","60622-12","11315-62",2017
"61914","60622-12","124319-53",2017
"61915","60622-12","56355-94",2017
"61916","60622-12","60622-12",2017
"61917","51254-02","11138-68",2017
"61918","51254-02","11291-32",2017
"61919","51254-02","51254-02",2017
"61920","167489-20","167489-20",2016
"61921","55821-52","167489-20",2016
"61922","167489-20","55821-52",2016
"61923","55821-52","55821-52",2016
"61924","105535-18","10139-41",2016
"61925","167489-20","10139-41",2016
"61926","180511-66","10139-41",2016
"61927","105535-18","105535-18",2016
"61928","167489-20","105535-18",2016
"61929","180511-66","105535-18",2016
"61930","105535-18","167489-20",2016
"61931","167489-20","167489-20",2016
"61932","180511-66","167489-20",2016
"61933","105535-18","180511-66",2016
"61934","167489-20","180511-66",2016
"61935","180511-66","180511-66",2016
"61936","51322-24","51322-24",2016
"61937","51322-24","52773-04",2016
"61938","119013-13","119013-13",2016
"61939","119013-13","123037-21",2016
"61940","10134-73","10134-73",2016
"61941","10134-73","11208-43",2016
"61942","10134-73","54086-14",2016
"61943","163988-38","163988-38",2016
"61944","51322-24","163988-38",2016
"61945","163988-38","51322-24",2016
"61946","51322-24","51322-24",2016
"61947","63908-56","11260-45",2016
"61948","63908-56","63908-56",2016
"61949","52135-93","43058-08",2016
"61950","52135-93","52135-93",2016
"61951","148818-07","11247-67",2016
"61952","148818-07","148818-07",2016
"61953","148818-07","95034-70",2016
"61954","53465-95","11054-35",2014
"61955","53465-95","53465-95",2014
"61956","10134-73","10134-73",2016
"61957","11240-47","10134-73",2016
"61958","10134-73","11240-47",2016
"61959","11240-47","11240-47",2016
"61960","10134-73","11258-83",2016
"61961","11240-47","11258-83",2016
"61962","10134-73","11296-45",2016
"61963","11240-47","11296-45",2016
"61964","11135-71","11135-71",2016
"61965","11135-71","186674-59",2016
"61966","10077-85","10077-85",2003
"61967","10077-85","11114-92",2003
"61968","10077-85","11131-03",2003
"61969","10077-85","11148-67",2003
"61970","10077-85","11179-90",2003
"61971","10077-85","11281-33",2003
"61972","10077-85","11295-91",2003
"61973","10077-85","11318-77",2003
"61974","10077-85","27099-91",2003
"61975","106771-51","106771-51",2013
"61976","106771-51","53324-20",2013
"61977","11295-91","11295-91",2000
"61978","11318-77","11295-91",2000
"61979","11295-91","11318-77",2000
"61980","11318-77","11318-77",2000
"61981","11127-25","11127-25",2016
"61982","11127-25","55457-02",2016
"61983","61956-64","153309-25",2016
"61984","61956-64","61956-64",2016
"61985","11251-81","10181-17",2016
"61986","11251-81","11135-71",2016
"61987","11251-81","11251-81",2016
"61988","11251-81","42711-76",2016
"61989","55858-33","11214-82",1998
"61990","55858-33","55858-33",1998
"61991","42360-22","111504-79",2016
"61992","42360-22","11163-88",2016
"61993","42360-22","42360-22",2016
"61994","42360-22","53324-02",2016
"61995","42360-22","61456-33",2016
"61996","111460-42","111460-42",2016
"61997","111460-42","54400-78",2016
"61998","54197-38","149991-76",2016
"61999","54197-38","161800-93",2016
"62000","54197-38","54197-38",2016
"62001","11303-11","11303-11",2016
"62002","11303-11","54440-65",2016
"62003","11303-11","59902-84",2016
"62004","11303-11","65049-22",2016
"62005","117632-98","117632-98",2016
"62006","117632-98","54344-62",2016
"62007","117632-98","58906-99",2016
"62008","10123-03","10123-03",2016
"62009","10123-03","11227-60",2016
"62010","10123-03","11296-45",2016
"62011","10123-03","149720-23",2016
"62012","10123-03","223507-63",2016
"62013","10123-03","51768-10",2016
"62014","10123-03","53858-62",2016
"62015","42336-37","11215-54",2016
"62016","42336-37","42336-37",2016
"62017","42336-37","89936-74",2016
"62018","10134-73","10134-73",2016
"62019","10134-73","11290-51",2016
"62020","10134-73","176139-55",2016
"62021","10134-73","51097-51",2016
"62022","10134-73","56451-79",2016
"62023","11111-68","11111-68",2017
"62024","151204-33","11111-68",2017
