node,companyid,l4c,l4c_scaled,gender,ethnicity,age_diff,geo_dist,ivyplus,prior_investments_success,complementarity,exec_age,male_exec,nonwhite_exec,ivyplus_exec,year,comp_lon,comp_lat,neighborhood_edges,no_deals_nh,no_deals_5year_nh,company_state
46627-30F,100919-98,1,.07692308,1,1,4,72018.125,0,0,0,0,1,0,0,2014,-96.047981,41.26453,13,5,8,Out of business
46627-30F,109360-36,1,.07692308,1,1,4,59281.223,0,0,1,0,1,0,0,2014,-96.178619,41.203793,13,5,8,
46642-33F,56296-09,1,.050000001,1,.5,6,932.37463,1,0,1,0,1,1,0,2011,-122.68458,45.528889,20,8,20,Exit
46642-33F,56295-82,1,.050000001,.75,.75,6,23994.172,.25,0,.75,0,1,1,0,2011,-122.40547,45.609161,20,16,40,
46642-33F,56295-37,1,.043478262,1,1,7,185766,0,0,1,0,1,1,0,2012,-122.99879,43.863846,23,4,24,Generating revenue
46642-33F,87774-22,1,.037037037,0,1,9,0,1,0,1,0,1,1,0,2014,-122.68573,45.520538,27,3,14,Generating revenue
46642-33F,153409-96,1,.037037037,1,1,11,14643.185,0,0,1,0,1,1,0,2016,-122.69009,45.652256,27,2,14,Generating revenue
46642-87F,56296-09,1,.050000001,1,.5,6,932.37463,1,0,1,0,1,0,0,2011,-122.68458,45.528889,20,8,20,Exit
46642-87F,56295-82,1,.050000001,.75,.75,6,23994.172,.25,0,.75,0,1,0,0,2011,-122.40547,45.609161,20,16,40,
46642-87F,56295-37,1,.043478262,1,1,7,185766,0,0,1,0,1,0,0,2012,-122.99879,43.863846,23,4,24,Generating revenue
46642-87F,87774-22,1,.037037037,0,1,9,0,1,0,1,0,1,0,0,2014,-122.68573,45.520538,27,3,14,Generating revenue
46642-87F,153409-96,1,.037037037,1,1,11,14643.185,0,0,1,0,1,0,0,2016,-122.69009,45.652256,27,2,14,Generating revenue
46647-46F,55247-95,0,0,1,1,7,52890.316,0,0,0,0,1,0,0,2011,-111.98346,41.224911,9,1,4,Exit
46647-46F,53944-39,0,0,.5,0,10,1187958.1,0,0,0,0,1,0,0,2014,-122.37468,47.667469,18,6,18,Exit
46647-64F,88368-31,30,.43478259,1,0,7,1096261.1,1,0,1,0,1,0,1,2015,-122.4378,37.741798,69,6,30,Exit
46647-64F,117351-01,30,.47619048,1,0,8,17969.783,0,0,1,0,1,0,1,2016,-122.309,47.449001,63,8,52,Profitable
46647-64F,154341-19,30,.47619048,1,1,8,232932.14,0,0,1,0,1,0,1,2016,-122.68458,45.528889,63,4,26,Exit
46647-64F,120786-76,30,.49180329,1,1,9,14207.407,0,0,0,0,1,0,1,2017,-122.14104,47.610935,61,3,25,Startup
46647-82F,88368-31,30,.43478259,1,0,7,1096261.1,1,0,1,0,1,0,0,2015,-122.4378,37.741798,69,6,30,Exit
46647-82F,117351-01,30,.47619048,1,0,8,17969.783,0,0,1,0,1,0,0,2016,-122.309,47.449001,63,8,52,Profitable
46647-82F,154341-19,30,.47619048,1,1,8,232932.14,0,0,1,0,1,0,0,2016,-122.68458,45.528889,63,4,26,Exit
46647-82F,120786-76,30,.49180329,1,1,9,14207.407,0,0,0,0,1,0,0,2017,-122.14104,47.610935,61,3,25,Startup
46653-04F,133206-31,210,3,1,.66666669,3,703485.31,0,0,.33333334,1.6666666,1,0,0,2018,-117.20722,32.899998,70,6,42,Generating revenue
46656-19F,53738-83,0,0,1,.5,2.75,2823804.3,0,0,.75,3.75,1,0,0,2016,-87.623253,41.886456,4,4,4,Generating revenue
46657-36F,56229-67,18,.40909091,1,1,0,3768854.5,0,0,1,9,1,1,0,2015,-122.25932,47.388252,44,1,6,Generating revenue
46657-36F,54254-35,9,.32142857,1,1,3,17474.719,0,0,0,0,1,1,0,2012,-94.704727,38.92474,28,2,6,Generating revenue
46657-36F,109976-50,3,.10714286,1,1,9,12415.826,0,0,1,0,1,1,0,2018,-122.2981,37.869976,28,2,14,Generating revenue
46661-50F,110415-25,0,0,1,1,2,2769688.5,1,0,1,0,1,0,0,2014,-122.34675,47.63065,6,4,5,Generating revenue
46663-21F,56082-25,0,0,1,1,0,9528.3389,0,0,0,0,1,0,1,2004,-118.47286,34.009277,1,1,1,Generating revenue
46669-87F,222832-27,0,0,1,0,15,3959.9077,0,0,0,0,1,1,0,2013,-157.79926,21.284,1,1,1,Generating revenue
46682-20F,172309-96,36,.34615386,1,1,2,4152455.3,0,0,0,0,1,0,0,2017,-73.7789,40.639801,104,1,2,Generating revenue
46682-20F,152587-63,36,.33027524,1,0,15,6504.7959,1,0,1,0,1,0,0,2016,-71.084122,42.362297,109,5,45,Generating revenue
46692-37F,56110-87,0,0,1,1,0,3388.3975,0,0,1,0,1,0,0,2013,-73.945587,40.726303,1,1,1,Generating revenue
46693-81F,65663-20,10,.1369863,1,1,10,3145549.5,0,0,0,0,1,0,0,2017,-73.989349,40.73251,73,1,19,Generating revenue
46693-81F,58492-36,10,.1369863,1,0,7,20872.818,0,0,0,0,1,0,0,2017,-73.998337,40.72596,73,1,7,Generating revenue
46703-62F,57982-51,1,.009708738,1,1,16,1092385.3,.25,0,.5,0,1,0,1,2015,-122.32253,47.63287,103,64,236,Profitable
46703-62F,113119-75,1,.0086956518,1,.5,17,16187.663,1,0,1,0,1,0,1,2016,-122.28316,37.834724,115,26,142,Startup
